	MeSH Disease Term	PubMed occurrence	MeSH Disease ID
2057	Intestinal Atresia	734	D007409
2058	Chlamydophila Infections	733	D023521
2059	Pseudorabies	732	D011557
2060	Hepatitis E	732	D016751
2061	Thalamic Diseases	731	D013786
2062	Brachial Plexus Neuritis	730	D020968
2063	Albinism	730	D000417
2064	Soft Tissue Injuries	730	D017695
2065	Ankylosis	729	D000844
2066	Rhabdomyoma	728	D012207
2067	Seasonal Affective Disorder	727	D016574
2068	Encephalitis, Japanese	726	D004672
2069	Lupus Vulgaris	725	D008177
2070	Preleukemia	725	D011289
2071	Glycogen Storage Disease Type II	725	D006009
2072	Respiratory Tract Neoplasms	724	D012142
2073	Muscle Rigidity	723	D009127
2074	Acidosis, Respiratory	723	D000142
2075	Adenoma, Sweat Gland	721	D006607
2076	Eye Infections, Viral	720	D015828
2077	Adenolymphoma	720	D000235
2078	Sarcoma, Yoshida	720	D012517
2079	Pemphigoid, Benign Mucous Membrane	720	D010390
2080	Sebaceous Gland Neoplasms	719	D012626
2081	Hand Deformities, Acquired	719	D006227
2082	Myofascial Pain Syndromes	717	D009209
2083	Cholesteatoma, Middle Ear	716	D018424
2084	Leukodystrophy, Metachromatic	716	D007966
2085	Placental Insufficiency	715	D010927
2086	Lymphohistiocytosis, Hemophagocytic	715	D051359
2087	Plant Poisoning	715	D010939
2088	Pneumonia, Staphylococcal	713	D011023
2089	Urticaria Pigmentosa	713	D014582
2090	Lymphoma, T-Cell, Peripheral	711	D016411
2091	Hypesthesia	711	D006987
2092	Anemia, Megaloblastic	711	D000749
2093	Malacoplakia	710	D008287
2094	Toxocariasis	709	D014120
2095	Basal Cell Nevus Syndrome	709	D001478
2096	Acanthosis Nigricans	708	D000052
2097	Cystinosis	706	D003554
2098	Dystocia	705	D004420
2099	Brucellosis, Bovine	704	D002007
2100	Corynebacterium Infections	704	D003354
2101	Pinealoma	704	D010871
2102	Skull Base Neoplasms	704	D019292
2103	Cicatrix, Hypertrophic	704	D017439
2104	Hypochondriasis	703	D006998
2105	Pancreatic Fistula	702	D010185
2106	Heat Exhaustion	701	D006359
2107	Acrocephalosyndactylia	699	D000168
2108	Hyperemesis Gravidarum	698	D006939
2109	Ebstein Anomaly	698	D004437
2110	Supratentorial Neoplasms	697	D015173
2111	Essential Tremor	694	D020329
2112	Periapical Abscess	693	D010482
2113	Mandibulofacial Dysostosis	693	D008342
2114	Nervous System Malformations	693	D009421
2115	Hereditary Sensory and Motor Neuropathy	693	D015417
2116	Radiodermatitis	693	D011855
2117	Osteochondromatosis	692	D018216
2118	Scarlet Fever	691	D012541
2119	Arthrogryposis	691	D001176
2120	alpha 1-Antitrypsin Deficiency	691	D019896
2121	Enterocolitis, Necrotizing	689	D020345
2122	Lymphangioma, Cystic	687	D018191
2123	Still's Disease, Adult-Onset	687	D016706
2124	Vascular Headaches	687	D014653
2125	Lysosomal Storage Diseases	687	D016464
2126	Arthropathy, Neurogenic	686	D001177
2127	Neurodermatitis	685	D009450
2128	Exfoliation Syndrome	683	D017889
2129	Siderosis	682	D012806
2130	Taste Disorders	682	D013651
2131	Glycosuria	682	D006029
2132	Carotid Body Tumor	680	D002345
2133	Fetofetal Transfusion	680	D005330
2134	Parasitemia	679	D018512
2135	Paraneoplastic Endocrine Syndromes	679	D009384
2136	Fibrous Dysplasia, Polyostotic	678	D005359
2137	Hepatoblastoma	677	D018197
2138	Schizophrenia, Childhood	677	D012561
2139	Prostatic Intraepithelial Neoplasia	675	D019048
2140	Leukemia, B-Cell	674	D015448
2141	Bronchiolitis, Viral	673	D001990
2142	Wiskott-Aldrich Syndrome	673	D014923
2143	Myelitis, Transverse	671	D009188
2144	Mouth, Edentulous	671	D009066
2145	Myoglobinuria	670	D009212
2146	Status Asthmaticus	670	D013224
2147	Persistent Vegetative State	670	D018458
2148	Gastroparesis	669	D018589
2149	Reflex, Abnormal	668	D012021
2150	Trichuriasis	667	D014257
2151	Aortitis	664	D001025
2152	Ileitis	663	D007079
2153	Dental Leakage	663	D003763
2154	Hyperopia	662	D006956
2155	Failure to Thrive	661	D005183
2156	Tic Disorders	660	D013981
2157	Paratyphoid Fever	659	D010284
2158	Osteochondroma	657	D015831
2159	Sialadenitis	657	D012793
2160	Avian Leukosis	656	D001353
2161	Foot Deformities, Congenital	656	D005532
2162	Eye Infections, Parasitic	655	D015822
2163	Fibroadenoma	654	D018226
2164	Abruptio Placentae	654	D000037
2165	Salmonella Food Poisoning	653	D012478
2166	MELAS Syndrome	653	D017241
2167	Chylous Ascites	653	D002915
2168	Dental Pulp Necrosis	653	D003790
2169	Rh Isoimmunization	653	D012203
2170	Decerebrate State	652	D003655
2171	Drowning	651	D004332
2172	Leg Length Inequality	649	D007870
2173	Auditory Perceptual Disorders	649	D001308
2174	Hyperandrogenism	648	D017588
2175	Tennis Elbow	647	D013716
2176	Encephalopathy, Bovine Spongiform	646	D016643
2177	Choledochal Cyst	645	D015529
2178	Diverticulosis, Esophageal	645	D045723
2179	Dementia, Multi-Infarct	645	D015161
2180	Lesch-Nyhan Syndrome	644	D007926
2181	Heat Stress Disorders	644	D018882
2182	Molluscum Contagiosum	643	D008976
2183	Strongylida Infections	643	D017206
2184	Hyperparathyroidism, Primary	643	D049950
2185	Hyperuricemia	643	D033461
2186	Calcium Metabolism Disorders	642	D002128
2187	Syndactyly	640	D013576
2188	Water Intoxication	640	D014869
2189	Exostoses, Multiple Hereditary	639	D005097
2190	Branchioma	638	D001935
2191	Facial Nerve Diseases	638	D005155
2192	Aphakia, Postcataract	638	D001036
2193	Scleritis	638	D015423
2194	Ventricular Premature Complexes	638	D018879
2195	Phantom Limb	636	D010591
2196	Leukemia, Myelomonocytic, Chronic	635	D015477
2197	Hematemesis	635	D006396
2198	Hypoventilation	635	D007040
2199	Klippel-Trenaunay-Weber Syndrome	635	D007715
2200	Rhabdoid Tumor	634	D018335
2201	Exostoses	633	D005096
2202	Jaw, Edentulous	633	D007575
2203	Arachnoiditis	632	D001100
2204	Disease Susceptibility	632	D004198
2205	Hemobilia	632	D006431
2206	Foot Injuries	632	D018409
2207	HIV-Associated Lipodystrophy Syndrome	631	D039682
2208	Mesonephroma	631	D008649
2209	Blepharospasm	631	D001764
2210	Neoplasms, Squamous Cell	630	D018307
2211	Neuromyelitis Optica	630	D009471
2212	Leukomalacia, Periventricular	629	D007969
2213	Scurvy	629	D012614
2214	Mitochondrial Encephalomyopathies	628	D017237
2215	Brachial Plexus Neuropathies	628	D020516
2216	Carotid Artery, Internal, Dissection	626	D020215
2217	Tinea Capitis	625	D014006
2218	Gigantism	625	D005877
2219	Polyendocrinopathies, Autoimmune	625	D016884
2220	Ectromelia	624	D004480
2221	Cerebral Amyloid Angiopathy	623	D016657
2222	Diverticulum, Esophageal	623	D004936
2223	Fusobacterium Infections	621	D005674
2224	Goiter, Endemic	621	D006043
2225	Tooth Eruption, Ectopic	620	D014079
2226	Microvascular Angina	620	D017566
2227	Communication Disorders	619	D003147
2228	Duodenogastric Reflux	617	D004383
2229	Barotrauma	617	D001469
2230	Cestode Infections	616	D002590
2231	Synovitis, Pigmented Villonodular	616	D013586
2232	Menkes Kinky Hair Syndrome	616	D007706
2233	Oral Hemorrhage	615	D006472
2234	Oral Ulcer	613	D019226
2235	Histiocytosis, Sinus	613	D015618
2236	Fluorosis, Dental	612	D009050
2237	Foramen Ovale, Patent	612	D054092
2238	Candidiasis, Cutaneous	611	D002179
2239	Erysipelas	609	D004886
2240	Fibromatosis, Aggressive	609	D018222
2241	Puberty, Delayed	608	D011628
2242	Hypersplenism	607	D006971
2243	Helminthiasis, Animal	606	D006374
2244	Adenoma, Chromophobe	606	D000238
2245	Parathyroid Diseases	606	D010279
2246	Toxoplasmosis, Cerebral	605	D016781
2247	Myotonia	605	D009222
2248	Overdose	604	
2249	Taeniasis	603	D013622
2250	Bronchogenic Cyst	603	D001994
2251	Hepatic Veno-Occlusive Disease	603	D006504
2252	Dyskinesias	601	D020820
2253	Carcinoma, Mucoepidermoid	600	D018277
2254	Polyuria	599	D011141
2255	Classical Swine Fever	598	D006691
2256	Brugada Syndrome	598	D053840
2257	Hyperbilirubinemia, Hereditary	598	D006933
2258	Arterio-Arterial Fistula	597	D001159
2259	Panniculitis, Nodular Nonsuppurative	597	D010201
2260	Dysautonomia, Familial	596	D004402
2261	Tuberculosis, Ocular	595	D014392
2262	Progeria	595	D011371
2263	Testicular Hydrocele	593	D006848
2264	Communicable Diseases, Emerging	592	D021821
2265	Mucolipidoses	592	D009081
2266	Adenocarcinoma, Scirrhous	591	D002293
2267	Carcinoma, Adenosquamous	590	D018196
2268	Holoprosencephaly	590	D016142
2269	Persistent Fetal Circulation Syndrome	590	D010547
2270	Angelman Syndrome	590	D017204
2271	Potassium Deficiency	590	D011191
2272	Sturge-Weber Syndrome	589	D013341
2273	Hemangioma, Capillary	588	D018324
2274	Vitamin K Deficiency	588	D014813
2275	Polyhydramnios	586	D006831
2276	Foot Deformities, Acquired	584	D005531
2277	Limb Deformities, Congenital	584	D017880
2278	Caliciviridae Infections	583	D017250
2279	Croup	583	D003440
2280	Hydrothorax	583	D006876
2281	Placenta Accreta	583	D010921
2282	Psoas Abscess	582	D016659
2283	Encephalitis, Arbovirus	582	D004671
2284	Leukemia, Megakaryoblastic, Acute	582	D007947
2285	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	582	D020277
2286	Fetal Macrosomia	581	D005320
2287	Cystadenoma, Mucinous	580	D018291
2288	Small Cell Lung Carcinoma	580	D055752
2289	Shoulder Fractures	579	D012784
2290	Lymphangioleiomyomatosis	578	D018192
2291	Night Blindness	578	D009755
2292	Beckwith-Wiedemann Syndrome	577	D001506
2293	Intracranial Hypotension	576	D019585
2294	Erythema Infectiosum	575	D016731
2295	Ventricular Dysfunction	575	D018754
2296	Distemper	573	D004216
2297	Spinal Muscular Atrophies of Childhood	572	D014897
2298	Anus, Imperforate	571	D001006
2299	Nails, Malformed	571	D009264
2300	Neurofibromatosis 2	569	D016518
2301	Cryptogenic Organizing Pneumonia	569	D018549
2302	Athetosis	569	D001264
2303	Protozoan Infections, Animal	568	D011529
2304	Neurofibromatoses	568	D017253
2305	Giant Cell Tumor of Bone	567	D018212
2306	Farmer's Lung	567	D005203
2307	Tooth Mobility	566	D014086
2308	Hyphema	566	D006988
2309	Kartagener Syndrome	563	D007619
2310	Encephalitis, Herpes Simplex	561	D020803
2311	Parasitic Diseases, Animal	561	D010273
2312	Dumping Syndrome	561	D004377
2313	Uveomeningoencephalitic Syndrome	561	D014607
2314	Maple Syrup Urine Disease	561	D008375
2315	Multiple Endocrine Neoplasia Type 2a	560	D018813
2316	Empty Sella Syndrome	560	D004652
2317	Dermatitis, Irritant	560	D017453
2318	Foot Ulcer	560	D016523
2319	Epiglottitis	559	D004826
2320	Spastic Paraplegia, Hereditary	558	D015419
2321	Optic Atrophies, Hereditary	557	D015418
2322	Thyroglossal Cyst	556	D013955
2323	Skin Diseases, Papulosquamous	556	D017444
2324	Alcohol Amnestic Disorder	555	D000425
2325	Sleep Disorders, Circadian Rhythm	553	D020178
2326	Trematode Infections	552	D014201
2327	Shoulder Impingement Syndrome	552	D019534
2328	Epilepsy, Frontal Lobe	551	D017034
2329	Vertebral Artery Dissection	549	D020217
2330	Ehrlichiosis	548	D016873
2331	Oxyuriasis	548	D010123
2332	Leiomyomatosis	548	D018231
2333	Dysplastic Nevus Syndrome	548	D004416
2334	Prognathism	548	D011378
2335	Heart Rupture, Post-Infarction	548	D006342
2336	Impotence, Vasculogenic	547	D018783
2337	Cell Transformation, Viral	546	D002472
2338	Porphyria Cutanea Tarda	546	D017119
2339	Hypophosphatemia	546	D017674
2340	Leukemia, Plasma Cell	545	D007952
2341	Myoepithelioma	545	D009208
2342	Hypopigmentation	544	D017496
2343	Prurigo	544	D011536
2344	Periarthritis	543	D010489
2345	Presbycusis	543	D011304
2346	Purine-Pyrimidine Metabolism, Inborn Errors	543	D011686
2347	Anxiety, Separation	543	D001010
2348	Submandibular Gland Neoplasms	542	D013365
2349	Choline Deficiency	542	D002796
2350	Nephrosclerosis	539	D009400
2351	Xanthogranuloma, Juvenile	539	D014972
2352	Arbovirus Infections	538	D001102
2353	Fetomaternal Transfusion	537	D005331
2354	Coronavirus Infections	536	D018352
2355	Dental Calculus	536	D003728
2356	Herpes Labialis	535	D006560
2357	Hymenolepiasis	535	D006925
2358	Smoke Inhalation Injury	534	D015208
2359	Mucopolysaccharidosis IV	533	D009085
2360	Paralyses, Familial Periodic	532	D010245
2361	Hepatorenal Syndrome	532	D006530
2362	Choroiditis	532	D002833
2363	Picornaviridae Infections	530	D010850
2364	Facial Neuralgia	530	D005156
2365	Dacryocystitis	530	D003607
2366	Hyperlipidemia, Familial Combined	530	D006950
2367	Needlestick Injuries	530	D016602
2368	Leigh Disease	529	D007888
2369	Chondrodysplasia Punctata	528	D002806
2370	Velopharyngeal Insufficiency	525	D014681
2371	Hemorrhagic Fevers, Viral	524	D006482
2372	Leishmaniasis, Mucocutaneous	522	D007897
2373	Chronic Periodontitis	522	D055113
2374	Tooth Loss	522	D016388
2375	Ciliary Motility Disorders	521	D002925
2376	Epidermolysis Bullosa Dystrophica	521	D016108
2377	Lentigo	521	D007911
2378	Nasopharyngeal Diseases	520	D009302
2379	Flatfoot	519	D005413
2380	Mucopolysaccharidosis II	519	D016532
2381	Lichenoid Eruptions	519	D017512
2382	Tinea Pedis	518	D014008
2383	Myositis, Inclusion Body	518	D018979
2384	Complex Regional Pain Syndromes	518	D020918
2385	Hashimoto Disease	518	D050031
2386	Hypertension, Pregnancy-Induced	517	D046110
2387	Hypolipoproteinemias	517	D007009
2388	Burns, Inhalation	517	D002059
2389	Multiple Personality Disorder	517	D009105
2390	Rectal Prolapse	516	D012005
2391	Deltaretrovirus Infections	515	D006800
2392	Graves Ophthalmopathy	515	D049970
2393	Tooth, Unerupted	514	D014097
2394	Scrub Typhus	513	D012612
2395	Leukodystrophy, Globoid Cell	513	D007965
2396	Tay-Sachs Disease	513	D013661
2397	Dental Enamel Hypoplasia	512	D003744
2398	Syphilis, Cutaneous	511	D013591
2399	Vascular Malformations	510	D054079
2400	Dyslexia, Acquired	509	D004411
2401	Carcinoma, Large Cell	508	D018287
2402	Colitis, Ischemic	508	D017091
2403	Sarcoma, Avian	507	D001357
2404	Rare Diseases	507	D035583
2405	Factor VII Deficiency	506	D005168
2406	Mite Infestations	505	D008924
2407	Dextrocardia	505	D003914
2408	Tooth Injuries	504	D018677
2409	Vitreoretinopathy, Proliferative	504	D018630
2410	Embolism, Cholesterol	504	D017700
2411	Tuberculosis, Hepatic	503	D014386
2412	Cystadenocarcinoma, Papillary	502	D018283
2413	Kidney Papillary Necrosis	502	D007681
2414	Pneumopericardium	502	D011026
2415	Endarteritis	502	D004692
2416	Paragonimiasis	501	D010237
2417	Protein S Deficiency	501	D018455
2418	Tracheitis	500	D014136
2419	Adams-Stokes Syndrome	500	D000219
2420	Hyperlipoproteinemia Type IV	500	D006953
2421	Arthritis, Gouty	499	D015210
2422	Otitis	499	D010031
2423	Chondroblastoma	498	D002804
2424	Dermatofibrosarcoma	498	D018223
2425	Cheilitis	498	D002613
2426	Mutism	497	D009155
2427	Heavy Chain Disease	496	D006362
2428	Synostosis	495	D013580
2429	POEMS Syndrome	494	D016878
2430	Blepharitis	494	D001762
2431	Epidural Abscess	493	D020802
2432	Vitreous Hemorrhage	493	D014823
2433	Focal Nodular Hyperplasia	491	D020518
2434	Calciphylaxis	491	D002115
2435	Jaw, Edentulous, Partially	490	D007576
2436	Hoarseness	490	D006685
2437	Hypoprothrombinemias	490	D007020
2438	Atrophy	490	D001284
2439	Jaw Abnormalities	488	D007569
2440	Fat Necrosis	488	D005218
2441	Acanthamoeba Keratitis	486	D015823
2442	Feline Acquired Immunodeficiency Syndrome	485	D016181
2443	Porcine Reproductive and Respiratory Syndrome	484	D019318
2444	Hamartoma Syndrome, Multiple	484	D006223
2445	Encephalomalacia	484	D004678
2446	Atrioventricular Block	484	D054537
2447	Lichen Sclerosus et Atrophicus	483	D018459
2448	Dysentery	482	D004403
2449	Stomach Rupture	482	D013275
2450	Bone Marrow Neoplasms	481	D019046
2451	Melena	481	D008551
2452	Ketosis	481	D007662
2453	Tachycardia, Ectopic Atrial	480	D013612
2454	Coronary Occlusion	480	D054059
2455	Gilbert Disease	479	D005878
2456	Stomach Volvulus	478	D013277
2457	Hypokinesia	478	D018476
2458	Corneal Edema	478	D015715
2459	Focal Infection	477	D005490
2460	Cleidocranial Dysplasia	477	D002973
2461	Ureterocele	477	D014518
2462	Alphavirus Infections	476	D018354
2463	Myotonia Congenita	476	D009224
2464	Thrombasthenia	476	D013915
2465	Amnesia, Retrograde	475	D000648
2466	Dengue Hemorrhagic Fever	472	D019595
2467	Adenomatous Polyps	472	D018256
2468	Submandibular Gland Diseases	472	D013364
2469	Trypanosomiasis, Bovine	471	D014354
2470	Pneumonia, Ventilator-Associated	470	D053717
2471	Chromoblastomycosis	470	D002862
2472	Dentigerous Cyst	470	D003803
2473	Forearm Injuries	470	D005543
2474	Rheumatoid Nodule	469	D012218
2475	Tinea Versicolor	468	D014010
2476	Postpoliomyelitis Syndrome	468	D016262
2477	Vasculitis, Central Nervous System	468	D020293
2478	Anemia, Refractory	468	D000753
2479	Lambert-Eaton Myasthenic Syndrome	467	D015624
2480	Pica	467	D010842
2481	Trichotillomania	467	D014256
2482	Angiofibroma	466	D018322
2483	Tooth Demineralization	466	D017001
2484	Optic Nerve Injuries	466	D020221
2485	Endodermal Sinus Tumor	465	D018240
2486	Pseudomyxoma Peritonei	465	D011553
2487	Hyperammonemia	465	D022124
2488	Hemangioblastoma	464	D018325
2489	Endocrine Gland Neoplasms	463	D004701
2490	Serum Sickness	463	D012713
2491	Rocky Mountain Spotted Fever	462	D012373
2492	Lymphomatoid Granulomatosis	462	D008230
2493	Achlorhydria	462	D000126
2494	Hypovolemia	462	D020896
2495	Conjunctivitis, Bacterial	461	D003234
2496	Microsporidiosis	461	D016881
2497	Bone Cysts, Aneurysmal	461	D017824
2498	Dystonia Musculorum Deformans	461	D004422
2499	Pancreatitis, Alcoholic	460	D019512
2500	Cystic Adenomatoid Malformation of Lung, Congenital	460	D015615
2501	Polydactyly	459	D017689
2502	Sleep Apnea, Central	459	D020182
2503	Dysthymic Disorder	459	D019263
2504	Brain Stem Neoplasms	458	D020295
2505	Presbyopia	458	D011305
2506	Endocardial Fibroelastosis	458	D004695
2507	Neurasthenia	458	D009440
2508	Anaplasmosis	457	D000712
2509	Reoviridae Infections	457	D012088
2510	Spondylarthropathies	457	D025242
2511	Avitaminosis	457	D001361
2512	Spondylolysis	456	D013169
2513	Porphyria, Acute Intermittent	456	D017118
2514	Stomatitis, Denture	455	D013282
2515	Hypertrophy, Right Ventricular	455	D017380
2516	Lymphogranuloma Venereum	454	D008219
2517	Pierre Robin Syndrome	454	D010855
2518	Uveal Diseases	454	D014603
2519	Leukoplakia	453	D007971
2520	Lung Injury	452	D055370
2521	Dandy-Walker Syndrome	452	D003616
2522	Alkaptonuria	452	D000474
2523	Boutonneuse Fever	451	D001907
2524	Roseolovirus Infections	451	D019349
2525	Optic Atrophy, Hereditary, Leber	451	D029242
2526	Multiple Chemical Sensitivity	451	D018777
2527	Impetigo	450	D007169
2528	Carcinoma, Ductal	450	D044584
2529	Embolism, Amniotic Fluid	450	D004619
2530	Pregnancy, Abdominal	450	D011269
2531	Chediak-Higashi Syndrome	449	D002609
2532	Activated Protein C Resistance	448	D020016
2533	Neoplasms, Nerve Tissue	447	D009380
2534	Hereditary Sensory and Autonomic Neuropathies	447	D009477
2535	Granuloma Annulare	447	D016460
2536	Osteoradionecrosis	447	D010025
2537	Leprosy, Tuberculoid	446	D015441
2538	Superinfection	444	D015163
2539	Arsenic Poisoning	444	D020261
2540	Xerophthalmia	444	D014985
2541	Somatosensory Disorders	443	D020886
2542	Vulvovaginitis	443	D014848
2543	Typhus, Epidemic Louse-Borne	442	D014438
2544	Central Nervous System Infections	442	D002494
2545	Sarcoma, Myeloid	442	D023981
2546	Postoperative Nausea and Vomiting	442	D020250
2547	Abortion, Septic	441	D000031
2548	Vesicovaginal Fistula	441	D014719
2549	Lithiasis	441	D020347
2550	Rhabdomyosarcoma, Embryonal	439	D018233
2551	Weil Disease	438	D014895
2552	Radicular Cyst	437	D011842
2553	Hemangioma, Cavernous, Central Nervous System	437	D020786
2554	Leukemic Infiltration	437	D017254
2555	Cardiomyopathy, Alcoholic	436	D002310
2556	Drug Toxicity	436	D064420
2557	Gonadal Dysgenesis, 46,XY	435	D006061
2558	Embolism, Paradoxical	435	D019320
2559	Bell Palsy	434	D020330
2560	Angiodysplasia	433	D016888
2561	Tumor Lysis Syndrome	433	D015275
2562	Crush Syndrome	433	D003444
2563	Rhinoscleroma	432	D012226
2564	Anomia	432	D000849
2565	Oligohydramnios	432	D016104
2566	Agraphia	431	D000381
2567	Hyperglycemic Hyperosmolar Nonketotic Coma	431	D006944
2568	Granuloma, Pyogenic	431	D017789
2569	Leukemia L5178	430	D007940
2570	Ileus	430	D045823
2571	Adrenocortical Carcinoma	428	D018268
2572	Klippel-Feil Syndrome	428	D007714
2573	Exotropia	426	D005099
2574	ACTH Syndrome, Ectopic	425	D000182
2575	Burning Mouth Syndrome	425	D002054
2576	Spinal Cord Ischemia	425	D020760
2577	Trismus	425	D014313
2578	Splenic Infarction	425	D013159
2579	Colonic Pseudo-Obstruction	424	D003112
2580	Albinism, Oculocutaneous	424	D016115
2581	Hemangioendothelioma, Epithelioid	423	D018323
2582	Riboflavin Deficiency	422	D012257
2583	Osteolysis, Essential	421	D010015
2584	Hypoplastic Left Heart Syndrome	421	D018636
2585	Meconium Aspiration Syndrome	420	D008471
2586	Adrenocortical Adenoma	419	D018246
2587	Pituitary Apoplexy	419	D010899
2588	Hypoproteinemia	419	D007019
2589	Thyroid Crisis	419	D013958
2590	Borrelia Infections	418	D001899
2591	Gastrinoma	418	D015408
2592	Tricuspid Valve Stenosis	417	D014264
2593	IgA Deficiency	417	D017098
2594	Thymus Hyperplasia	416	D013952
2595	Hypertrophy	416	D006984
2596	Fatty Liver, Alcoholic	414	D005235
2597	DNA Virus Infections	413	D004266
2598	Ochronosis	413	D009794
2599	Larva Migrans	412	D007815
2600	Paraneoplastic Syndromes, Nervous System	412	D020361
2601	Fecal Impaction	412	D005244
2602	Neoplasms, Neuroepithelial	411	D018302
2603	Kearns-Sayre Syndrome	411	D007625
2604	Cerebrospinal Fluid Otorrhea	411	D002558
2605	Leukorrhea	411	D007973
2606	Histiocytic Necrotizing Lymphadenitis	411	D020042
2607	Jaw Cysts	410	D007570
2608	Intestinal Volvulus	410	D045822
2609	Akathisia, Drug-Induced	410	D017109
2610	Torsion Abnormality	410	D014102
2611	Optic Nerve Neoplasms	409	D019574
2612	Melkersson-Rosenthal Syndrome	409	D008556
2613	Twins, Conjoined	409	D014428
2614	Hypophosphatasia	409	D007014
2615	Serotonin Syndrome	409	D020230
2616	Heat Stroke	409	D018883
2617	Aphasia, Wernicke	408	D001041
2618	Vitamin B Deficiency	408	D014804
2619	Leukemia, Myeloid, Chronic-Phase	407	D015466
2620	Olivopontocerebellar Atrophies	407	D009849
2621	Pseudolymphoma	407	D019310
2622	Glycogen Storage Disease Type V	406	D006012
2623	Biliary Dyskinesia	405	D001657
2624	Malocclusion, Angle Class I	405	D008311
2625	Lacerations	405	D022125
2626	Cutis Laxa	404	D003483
2627	Carcinoma, Embryonal	403	D018236
2628	Cardiomyopathy, Restrictive	402	D002313
2629	Odontoma	401	D009810
2630	Cockayne Syndrome	401	D003057
2631	Sunburn	401	D013471
2632	Fluoride Poisoning	401	D005458
2633	Tick Infestations	397	D013984
2634	Cystadenocarcinoma, Mucinous	397	D018282
2635	Burkholderia Infections	396	D019121
2636	Stomatitis, Herpetic	396	D013283
2637	Ganglioglioma	396	D018303
2638	Subphrenic Abscess	395	D013369
2639	Glomus Jugulare Tumor	395	D005925
2640	Cochlear Diseases	395	D015834
2641	Abducens Nerve Diseases	395	D020434
2642	Ancylostomiasis	394	D000724
2643	Hallux Valgus	394	D006215
2644	Autoimmune Diseases of the Nervous System	394	D020274
2645	Bronchitis, Chronic	393	D029481
2646	Frontotemporal Dementia	393	D057180
2647	Balanitis	393	D001446
2648	Bacteroidaceae Infections	392	D016866
2649	Borna Disease	392	D001890
2650	Amelogenesis Imperfecta	392	D000567
2651	Vestibulocochlear Nerve Diseases	392	D000160
2652	Epilepsy, Post-Traumatic	392	D004834
2653	Corneal Neovascularization	392	D016510
2654	Lens Diseases	392	D007905
2655	Pulmonary Atresia	392	D018633
2656	Constriction, Pathologic	392	D003251
2657	Wallerian Degeneration	392	D014855
2658	Larva Migrans, Visceral	391	D007816
2659	Glucagonoma	391	D005935
2660	Subdural Effusion	391	D013353
2661	Pyelonephritis, Xanthogranulomatous	391	D011705
2662	Hypohidrosis	391	D007007
2663	Colles' Fracture	391	D003100
2664	Peritonsillar Abscess	390	D000039
2665	Bluetongue	390	D001819
2666	Epilepsy, Reflex	390	D020195
2667	De Lange Syndrome	390	D003635
2668	Factor V Deficiency	390	D005166
2669	Mesenteric Cyst	389	D008639
2670	Tooth, Nonvital	389	D019553
2671	Bloom Syndrome	389	D001816
2672	Yersinia pseudotuberculosis Infections	388	D015012
2673	Radiation Pneumonitis	387	D017564
2674	Machado-Joseph Disease	387	D017827
2675	Pulmonary Valve Insufficiency	387	D011665
2676	Felty's Syndrome	386	D005258
2677	Sialorrhea	386	D012798
2678	Azoospermia	386	D053713
2679	Hyperoxaluria	386	D006959
2680	Cystadenoma, Serous	385	D018293
2681	Carcinoma, Verrucous	385	D018289
2682	Bladder Exstrophy	385	D001746
2683	Incontinentia Pigmenti	385	D007184
2684	Periostitis	384	D010522
2685	Skin Diseases, Viral	384	D017193
2686	Myelinolysis, Central Pontine	384	D017590
2687	Anemia, Refractory, with Excess of Blasts	384	D000754
2688	Histiocytosis	384	D015614
2689	Suppuration	383	D013492
2690	AIDS-Associated Nephropathy	383	D016263
2691	Thecoma	383	D013798
2692	Hyperostosis, Diffuse Idiopathic Skeletal	383	D004057
2693	Lymphangiectasis	383	D008200
2694	Pellagra	383	D010383
2695	Dyspareunia	382	D004414
2696	Ureaplasma Infections	381	D016869
2697	Poxviridae Infections	381	D011213
2698	Environmental Illness	380	D018876
2699	Scleral Diseases	379	D015422
2700	Legionellosis	378	D007876
2701	Salivary Duct Calculi	378	D012465
2702	Neuritis, Autoimmune, Experimental	378	D009444
2703	Eye Diseases, Hereditary	378	D015785
2704	Gliosarcoma	377	D018316
2705	Elliptocytosis, Hereditary	377	D004612
2706	Furunculosis	376	D005667
2707	Sertoli Cell Tumor	376	D012707
2708	Hemifacial Spasm	376	D019569
2709	Waardenburg's Syndrome	376	D014849
2710	Diabetes Insipidus, Nephrogenic	375	D018500
2711	Anemia, Hemolytic, Congenital Nonspherocytic	375	D000746
2712	Pilomatrixoma	374	D018296
2713	Keratoconjunctivitis Sicca	374	D007638
2714	Hyperoxaluria, Primary	374	D006960
2715	Monoclonal Gammopathy of Undetermined Significance	374	D008998
2716	Periapical Granuloma	373	D010484
2717	Phagocyte Bactericidal Dysfunction	373	D010585
2718	Chondromatosis, Synovial	372	D015838
2719	Carotid-Cavernous Sinus Fistula	372	D020216
2720	Muscle Hypertonia	371	D009122
2721	Gingivitis, Necrotizing Ulcerative	369	D005892
2722	Chancroid	369	D002602
2723	Ectoparasitic Infestations	369	D004478
2724	Funnel Chest	369	D005660
2725	Nose Deformities, Acquired	369	D009667
2726	Urogenital Abnormalities	369	D014564
2727	Kernicterus	368	D007647
2728	Necrobiosis Lipoidica	368	D009335
2729	Persian Gulf Syndrome	368	D018923
